brand,intent,count_in_sample,pct_of_sample,example_1,example_2
MicrosoftHelps,Other / Uncategorized,1029,51.4,@MicrosoftHelps Was awaiting a call back from level 2 team at 5pm who suggested other route and still nothing. I can't wait longer tonight.,@204598 This @MicrosoftHelps Microsoft Support didnt helped in any way my last 8 calls. The support only tells me that they created a case (i got a processing nummber) and i have to wait till they contact me. This is the situation since 5 days. So fucking bad
MicrosoftHelps,Technical Error & Troubleshooting,530,26.5,"@MicrosoftHelps It's your FORCED automatic updates that caused the issue. The update clearly didn't install correctly.

Did ""Clean Install"" and it works now","@MicrosoftHelps I restarted my Surface, and now the screen has gone weird, and changes colour every time I restart it? (My background is a solid black colour, the purple colour is the issue) https://t.co/KWWFqXGZ1j"
MicrosoftHelps,Product/Feature How-To & General Inquiry,93,4.7,@MicrosoftHelps @222023 He’s just an idiot that doesn’t know how to use it properly. Ya boy is over here running vba and pivot tables like a pro.,@MicrosoftHelps how do i backup my photos from OneDrive cloud directly to my external HD (D:/)? I don't have enough space on my PC HD (C:/) to sync all the photos to my usual OneDrive folder and I don't want to change the location of my OneDrive folder (C:/)
MicrosoftHelps,Account & Login / Auth,69,3.5,@MicrosoftHelps email account has been hacked &amp; recovery email address changed. I need help pls,"@MicrosoftHelps started crashing again directly after login. So I've tried reinstalling it. And here we are.
After trying to install it round about 11 times. The surface is back alive. If the crashes start occurring again, I'm going to reach out to you again. Thank you for your answers!"
MicrosoftHelps,"Store, Pickup & In-Person",59,2.9,"@MicrosoftHelps Hello, that didn't work unfortunately, still won't let me open word or any of the other office apps",@117347 I was at 98% of the download when the Store app updated!?! It started the download and now refuses to donwload... It shows Downloading ... already for 3 hours!! @MicrosoftHelps @141875
MicrosoftHelps,"Warranty, Repair & Replacement",51,2.5,@MicrosoftHelps Hi guys having issues with Windows 10 on pc...start button/search function and numerous other issues Such as Windows cannot find Ms settings. Any ideas for a fix? Thanks,"@MicrosoftHelps No, its been like this for a year and I reinstalled everything 2 months ago to try as a fix. It have all updates."
MicrosoftHelps,"Network, Internet & Connectivity",48,2.4,So I posted this shit on instagram nobody even bothered to fucking responded to my problem! I searched the internet... nothing. https://t.co/hIalaiNO7m,"@MicrosoftHelps Yes, this is a business device with extended warranty coverage."
MicrosoftHelps,Complaint & Feedback,39,1.9,@MicrosoftHelps Please help us take away #smartscreen reporting my web site as unsafe. All of my messages are being ignored! Our site is not unsafe! https://t.co/zvmWS8TGxY,@115890 Office Word software and Mac the most terrible experience ... https://t.co/UuTFQO1Dlo
MicrosoftHelps,"Billing, Charges & Payments",33,1.7,@MicrosoftHelps @115890 chrgd me $108 for MO I cancelled in Aug Now they can’t find my payment After being on 📱 for an hr still no result,"@MicrosoftHelps Yes, was talking to billing, who put me on to  Answer Desk, who in turn put me on to Xbox support. As far as I remember."
MicrosoftHelps,"Order, Delivery & Tracking",20,1.0,@MicrosoftHelps yes. says arrived but i never received package,@MicrosoftHelps your customer service is the worst. I've been on the phone everyday to fix my order sand still getting the runaround.
MicrosoftHelps,"Flight, Transit & Booking",18,0.9,@MicrosoftHelps Windows 10 Store's service is very poor and lacks the esentials for being an optimal platform,"@303940 Hi, there. We just wanted to check in. How are things running for you at the moment? We're here to help if you need us."
MicrosoftHelps,Cancellation & Subscription,8,0.4,"@MicrosoftHelps Hi, I pre-ordered Star Wars battlefront through the Microsoft Store around May and would like to cancel it.",@MicrosoftHelps I figured out it was my AMD Display Driver on my Mac. Had to downgrade. No good.
MicrosoftHelps,"Damaged, Wrong or Missing Product",3,0.1,"@MicrosoftHelps I've tried to contact virtual agent, but it didn't help much. I think I can't get a replacement due to my country (Indonesia) doesn't have Microsoft store yet. And the warranty has expired. What should I do?",@MicrosoftHelps I have got a surface pro4 and its touch screen is faulty. I complained about it and nothing happened.its been 45days
Tesco,Other / Uncategorized,1287,64.3,@Tesco there are imposters in my ‘smooth’ juice 👾😷😔 https://t.co/b6PGZzWkT5,@Tesco I’d rather see half the packet .. Can you imagine how much would be saved it every packet was halved to fit the fish ..  There’s no need for all of this
Tesco,"Store, Pickup & In-Person",246,12.3,@Tesco Yeh where I shop it was a pound and now it's 1.25,@Tesco Yes I do however it's not going to change my mind. I will shop somewhere else from now on!
Tesco,"Order, Delivery & Tracking",142,7.1,@Tesco why is there no pre-order page for Spider Man Homecoming on 4k blu ray on its own yet there is one with a massive statue for £150? :(,@Tesco How do I get my order number. I bought it in store on the night of release.
