intent_name,short_definition,number_of_examples,example_1,example_2,example_3
Technical Troubleshooting,"Diagnosing and resolving system errors, app crashes, update failures, or hardware malfunctions",530,"@MicrosoftHelps my Windows 10 update has been stuck at 23% for over an hour.  Troubleshooter didn't help.  Reboot didn't help.","Dear @115890 / @MicrosoftHelps Thats what happened to my laptop after your latest update #microsoftupdate .what should I do now? https://t.co/IMc9TcCrti https://t.co/XJX7iH5hcu","@MicrosoftHelps was previously installed the basic driver microsoft, when I wanted to install the driver nvidia 388.00 happened this."
Product / Feature How-To,"Inquiries about using features, software functionality, settings, file compatibility, or configurations",93,"@MicrosoftHelps how do i backup my photos from OneDrive cloud directly to my external HD (D:/)? I don't have enough space on my PC HD (C:/) to sync all the photos to my usual OneDrive folder and I don't want to change the location of my OneDrive folder (C:/)","@MicrosoftHelps Is there another way because someone sent me the powerpoint and I only have powerpoint 2003?","@MicrosoftHelps Can I use the same windows key i already have?"
Account & Login,"Account recovery, password resets, multi-factor authentication, security info, or hacked account assistance",69,"@MicrosoftHelps email account has been hacked &amp; recovery email address changed. I need help pls","@MicrosoftHelps Hello, Why microsoft is asking me to recover my account ? What have i done ? Just signed in from another app 😏 HELP please 😓","please i need help i accidentally deleted an email from here that was a hotmakl and i need to get it back @MicrosoftHelps https://t.co/wBzoXjEtOC"
Billing & Payments,"Questions or disputes concerning credit charges, payment methods, duplicate transactions, or invoice receipts",33,"@MicrosoftHelps @115890 chrgd me $108 for MO I cancelled in Aug Now they can’t find my payment After being on 📱 for an hr still no result","@MicrosoftHelps Yes, was talking to billing, who put me on to  Answer Desk, who in turn put me on to Xbox support. As far as I remember.","@MicrosoftHelps Yes, I selected “buy as gift” as I do not have a Xbox live account but it did not ask the recipients email and now it’s sat in my Microsoft account, I paid via PayPal and there is no option to cancel"
Order / Delivery,"Inquiries about tracking physical hardware orders, shipping delays, missing shipments, or delivery status",20,"@MicrosoftHelps yes. says arrived but i never received package","@MicrosoftHelps your customer service is the worst. I've been on the phone everyday to fix my order sand still getting the runaround.","@MicrosoftHelps Hi. The new key didn't work. I keep getting error codes. Could you please tell me how to go about getting a new key? Please don't tell me that I have to purchase Windows again. Thanks. 🙃"
Warranty / Repair,"Hardware repair requests, warranty status verification, service tag checks, or physical device replacements",51,"@MicrosoftHelps I've tried to contact virtual agent, but it didn't help much. I think I can't get a replacement due to my country (Indonesia) doesn't have Microsoft store yet. And the warranty has expired. What should I do?","@MicrosoftHelps I have got a surface pro4 and its touch screen is faulty. I complained about it and nothing happened.its been 45days","@MicrosoftHelps I tried re-paring my Surface Pen. I removed it in Settings =&gt; Bluetooth peripherals, the paired it by pressing both button of the Pen. The top button of the pen is working (it opens the Ink Workspace), only the tracking on the screen doesn't work."
Network / Connectivity,"Issues connecting to the internet, syncing cloud data, Bluetooth peripherals, or server outages",48,"@MicrosoftHelps New pages crash, cause sync error, have to delete page or move it to a new notebook to get sync again. Tried reinstall app, sign out/in.","@MicrosoftHelps I 've the last W10 Mobile build 15252 ,.. https://t.co/y9DTJjKs3L","@MicrosoftHelps My download speed is not great and the progress bar for the update was not moving. Fixed after a forced reboot. Thanks!"
Microsoft Store,"Problems downloading, installing, or updating apps and games from the Windows/Microsoft Store platform",59,"@117347 I was at 98% of the download when the Store app updated!?! It started the download and now refuses to donwload... It shows Downloading ... already for 3 hours!! @MicrosoftHelps @141875","@MicrosoftHelps Windows 10 Store's service is very poor and lacks the esentials for being an optimal platform","@MicrosoftHelps Hello, that didn't work unfortunately, still won't let me open word or any of the other office apps"
Complaint & Feedback,"Expressions of dissatisfaction with support quality, product changes, service policies, or staff responses",39,"@MicrosoftHelps Please help us take away #smartscreen reporting my web site as unsafe. All of my messages are being ignored! Our site is not unsafe! https://t.co/zvmWS8TGxY","@204598 This @MicrosoftHelps Microsoft Support didnt helped in any way my last 8 calls. The support only tells me that they created a case (i got a processing nummber) and i have to wait till they contact me. This is the situation since 5 days. So fucking bad","@MicrosoftHelps There were like three games made for the Kinect on Xbox One and you killed the fitness stuff, now you're killing off Kinect entirely."
Cancellation & Subscription,"Requests to cancel pre-orders, recurring subscriptions (Office 365, Xbox Live), or terminate services",8,"@MicrosoftHelps Hi, I pre-ordered Star Wars battlefront through the Microsoft Store around May and would like to cancel it.","@MicrosoftHelps hi can u help? I need to cancel a pre order of the new Destiny 2 DLC but there is no option in order history to cancel 🤔 ordered via Microsoft as a gift but it didn’t request the email address of the person it’s for so need to cancel","@MicrosoftHelps I want my money back! #lame https://t.co/28ajQLwbzC"
